seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,0,18,22,1,beta_noacc,near_linear,M1,0.013375739639292446,0.378323682976827,0.948774758262414,1.0,0.013529954283256986
21,0,18,22,1,beta_noacc,near_linear,M2,0.013361731726206624,0.3783243132358987,0.9489567719923128,1.0,0.013619924999286593
21,0,18,22,1,beta_noacc,near_linear,M3,0.013211928145411011,0.3782771505534582,0.949973416645742,1.0,0.01340554886292337
21,0,18,22,1,beta_noacc,near_linear,M4,0.013198720875783044,0.3782778168263235,0.9501688316415188,1.0,0.013483504685499253
21,0,18,22,1,beta_noacc,strong,M1,0.04506854054321981,1.1487300470671276,2.825295484873944,1.0,0.045547570439009616
21,0,18,22,1,beta_noacc,strong,M2,0.045026207978602774,1.1487320116600992,2.8258704961320413,1.0,0.04585786861208949
21,0,18,22,1,beta_noacc,strong,M3,0.04458227061576869,1.1485760557369014,2.828930949067436,1.0,0.045175953429867174
21,0,18,22,1,beta_noacc,strong,M4,0.04454270949002668,1.1485781422476298,2.8295461178844232,1.0,0.04545262179219319
21,0,18,22,1,legacy,moderate,M1,0.02780295765260124,0.7599870260981152,1.8956166358155573,1.0,0.02811652535204016
21,0,18,22,1,legacy,moderate,M2,0.027774723841325896,0.7599882979302526,1.8959961416991569,1.0,0.028304489471187674
21,0,18,22,1,legacy,moderate,M3,0.02747946011805129,0.7598905551361483,1.8980113682380124,1.0,0.027871184231785293
21,0,18,22,1,legacy,moderate,M4,0.027452934586222284,0.7598919022612468,1.898417748633137,1.0,0.028035650060191285
21,0,18,22,1,legacy,near_linear,M1,0.013375616495714266,0.3783237775558965,0.9486854167458746,1.0,0.013529800162619513
21,0,18,22,1,legacy,near_linear,M2,0.013361605968627023,0.378324407760159,0.948867429965016,1.0,0.013619783834914538
21,0,18,22,1,legacy,near_linear,M3,0.013211680541275765,0.37827723188237955,0.9498840610154118,1.0,0.013405260954881076
21,0,18,22,1,legacy,near_linear,M4,0.013198470564940631,0.37827789809711454,0.9500794739161972,1.0,0.013483231335750884
