seed,method,cohort,epsilon,draw,tracking,feasible,rho
87,Isotropic,100,8,4,0.0077126705451323,1.0,0.9690920732548564
87,Isotropic,100,8,5,0.00773196297884735,1.0,0.9691260327977674
87,Isotropic,100,8,6,0.0076150449716983854,1.0,0.9691958615918568
87,Isotropic,100,8,7,0.007728646174061838,1.0,0.9691846897520838
87,Isotropic,100,8,8,0.008159217049266405,1.0,0.9688436324143688
87,Isotropic,100,8,9,0.007626597193675018,1.0,0.9691788696514704
87,Isotropic,100,inf,0,0.007682477819738683,1.0,0.9691595581798113
88,ControlAware,10,2,0,0.023506959293310425,1.0,0.9709785829144036
88,ControlAware,10,2,1,0.021105462241942173,1.0,0.9695115897152236
88,ControlAware,10,2,2,0.017907416603518828,1.0,0.9639513550942884
88,ControlAware,10,2,3,0.0313496968907785,1.0,0.967709204080448
88,ControlAware,10,2,4,0.010186886437504719,1.0,0.9667645794976644
88,ControlAware,10,2,5,0.03142141928790972,1.0,0.9644232380646148
88,ControlAware,10,2,6,0.011014281463615933,1.0,0.9701170438900067
88,ControlAware,10,2,7,0.01910914137661514,1.0,0.9663690682795488
88,ControlAware,10,2,8,0.02261261802387106,1.0,0.9678643383366504
88,ControlAware,10,2,9,0.015797313910368593,1.0,0.9692034564888832
88,ControlAware,10,4,0,0.01721584038936095,1.0,0.9666232116989342
88,ControlAware,10,4,1,0.013441767082655308,1.0,0.9685276537355632
88,ControlAware,10,4,2,0.014098146131619896,1.0,0.9708041560793989
88,ControlAware,10,4,3,0.012108748502549877,1.0,0.9690224325950664
