gamma,low,high,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible,rho
1.5,15,25,near_linear,M2,0.014949384391792131,0.0003154967088739713,0.015697420350411113,0.4098531222864981,1.21168320233837,1.0,0.9635898464541016
1.5,15,25,near_linear,M3,0.01842251010675335,0.000525186514994735,0.021503982206185004,0.4096793145077838,1.2020842070042,1.0,0.9603964345839212
1.5,15,25,near_linear,M4,0.013705856323671708,0.00025076439851014865,0.014588178695684425,0.4097467116647605,1.2162964023954608,1.0,0.9647673586316128
1.5,15,25,strong,M1,0.06418096109685892,0.001693419221532711,0.07915734218658997,1.249609843027892,3.6957811291071896,1.0,0.9565103444756164
1.5,15,25,strong,M2,0.05007557585440407,0.0010511153965674313,0.052728998257553505,1.2497936046109133,3.738492732214542,1.0,0.9635898464541016
1.5,15,25,strong,M3,0.06149490140362499,0.0016752559067001412,0.07290363098467001,1.249164585367534,3.705423030629363,1.0,0.9603964345839212
1.5,15,25,strong,M4,0.04657836084791961,0.000852861572443165,0.04940641850344083,1.249419271344562,3.752842795129141,1.0,0.9647673586316128
1.5,18,22,moderate,M1,0.03827076971859934,0.0010290645044609842,0.0452655020089059,0.8278319958692327,2.404054260382473,1.0,0.9542911938098786
1.5,18,22,moderate,M2,0.029512736720682848,0.0005353084042777584,0.03168113545770131,0.828023020256853,2.4328685563552512,1.0,0.9591202821575378
1.5,18,22,moderate,M3,0.03799144573837718,0.0010050988699712787,0.04391888244654041,0.827706432066021,2.4067640318870165,1.0,0.9551318992992632
1.5,18,22,moderate,M4,0.029141736956242274,0.00047099341256923323,0.031244865009137302,0.827915111151707,2.436906214393576,1.0,0.9598222308825992
1.5,18,22,near_linear,M1,0.0184999927060129,0.0005039548074042684,0.021779520142529884,0.4116498526087432,1.191649264779874,1.0,0.9542911938098786
1.5,18,22,near_linear,M2,0.014207804506047422,0.00025813861637232963,0.015256122595952576,0.41174091470850377,1.2054502659975943,1.0,0.9591202821575378
1.5,18,22,near_linear,M3,0.01836045799605051,0.0004918857782938837,0.021110018761753342,0.41158939315897525,1.192968401383776,1.0,0.9551318992992632
1.5,18,22,near_linear,M4,0.014017676543411678,0.00022596407185759083,0.015041432555047043,0.4116889585844775,1.2074215801257844,1.0,0.9598222308825992
1.5,18,22,strong,M1,0.06131016560038377,0.0016021715497111422,0.07319787398229982,1.2538022750268607,3.656390581700337,1.0,0.9542911938098786
1.5,18,22,strong,M2,0.04778412493777941,0.0008671874519451075,0.05124747048505431,1.254125015348613,3.702578148967778,1.0,0.9591202821575378
1.5,18,22,strong,M3,0.060884237950319144,0.0015669675211402063,0.07115554728481668,1.2536009665712196,3.660585740669724,1.0,0.9551318992992632
1.5,18,22,strong,M4,0.047240134606821124,0.000771046628044876,0.05056445230187939,1.2539519672225026,3.70868159798937,1.0,0.9598222308825992
