seed,phase,point,policy,cohort,condition,mu,epsilon,method,draw,tracking,feasible,rho
96,A,map,biased-low-speed,30,correct,0.9,4,Isotropic,2,0.01156102771073727,1.0,0.9666890154554764
96,A,map,biased-low-speed,30,correct,0.9,4,Isotropic,3,0.010776129203474006,1.0,0.967065006337853
96,A,map,biased-low-speed,30,correct,0.9,4,Isotropic,4,0.00820395325607654,1.0,0.968895506696249
96,A,map,biased-low-speed,30,correct,0.9,8,ControlAware,0,0.008065815534843075,1.0,0.9680604651046746
96,A,map,biased-low-speed,30,correct,0.9,8,ControlAware,1,0.008260537933208568,1.0,0.9681720402751643
96,A,map,biased-low-speed,30,correct,0.9,8,ControlAware,2,0.00818088233273548,1.0,0.9680357836410466
96,A,map,biased-low-speed,30,correct,0.9,8,ControlAware,3,0.008007324743130897,1.0,0.9686777225411528
96,A,map,biased-low-speed,30,correct,0.9,8,ControlAware,4,0.007910789274063221,1.0,0.968402415343612
96,A,map,biased-low-speed,30,correct,0.9,8,Isotropic,0,0.008215965349497886,1.0,0.9680222151486436
96,A,map,biased-low-speed,30,correct,0.9,8,Isotropic,1,0.00840593588280419,1.0,0.9681519666924774
96,A,map,biased-low-speed,30,correct,0.9,8,Isotropic,2,0.008238493208071563,1.0,0.9679913543747396
96,A,map,biased-low-speed,30,correct,0.9,8,Isotropic,3,0.008113930179547922,1.0,0.9687854376220923
96,A,map,biased-low-speed,30,correct,0.9,8,Isotropic,4,0.007843362288994817,1.0,0.9684547855035852
96,A,map,biased-low-speed,30,correct,0.9,inf,ControlAware,0,0.008036137595784434,1.0,0.9682674759759125
96,A,map,biased-low-speed,30,correct,0.9,inf,Isotropic,0,0.008036137595784434,1.0,0.9682674759759125
96,A,map,biased-low-speed,50,correct,0.9,2,ControlAware,0,0.009809104575947416,1.0,0.9673060186941989
96,A,map,biased-low-speed,50,correct,0.9,2,ControlAware,1,0.008615262040612732,1.0,0.969471219400846
96,A,map,biased-low-speed,50,correct,0.9,2,ControlAware,2,0.008625788684878627,1.0,0.968340118732668
96,A,map,biased-low-speed,50,correct,0.9,2,ControlAware,3,0.008177862022332512,1.0,0.9690997268035744
96,A,map,biased-low-speed,50,correct,0.9,2,ControlAware,4,0.011256930928192105,1.0,0.967744029495104
96,A,map,biased-low-speed,50,correct,0.9,2,Isotropic,0,0.010620038243632158,1.0,0.9670954711323833
