seed,point,cohort,epsilon,method,draw,tracking,parameter_error,feasible,rho
111,discriminating,20,8,ControlAwareDP,2,0.008176638322277155,0.12209931618276265,1.0,0.9684830964318965
111,discriminating,20,8,ControlAwareDP,3,0.007598618826335959,0.174270938061396,1.0,0.9681295625358188
111,discriminating,20,8,ControlAwareDP,4,0.00801054940107447,0.12656942059316237,1.0,0.9680612930668072
111,discriminating,20,8,ControlAwareDP,5,0.00877565203071036,0.08736568917218829,1.0,0.9680779493769964
111,discriminating,20,8,ControlAwareDP,6,0.007352816560615554,0.09655797653271049,1.0,0.9685827066624192
111,discriminating,20,8,ControlAwareDP,7,0.00814941692013501,0.07589555058147864,1.0,0.9676591196451176
111,discriminating,20,8,ControlAwareDP,8,0.008534408913743304,0.13930283964355608,1.0,0.969186446023059
111,discriminating,20,8,ControlAwareDP,9,0.009474851301853585,0.19829052736185931,1.0,0.9673034225608222
111,discriminating,20,8,FamilyNonPrivate,0,0.00742989271950575,0.04736615215155975,1.0,0.968276320278235
111,discriminating,20,8,IsotropicDP,0,0.007868778294731878,0.0685946525784309,1.0,0.9689993233676246
111,discriminating,20,8,IsotropicDP,1,0.007924816771450849,0.07042395566386561,1.0,0.9687863958381784
111,discriminating,20,8,IsotropicDP,2,0.008401075118979756,0.06655321009477203,1.0,0.968498105696094
111,discriminating,20,8,IsotropicDP,3,0.007621686851456751,0.07528400377595344,1.0,0.968122358746048
111,discriminating,20,8,IsotropicDP,4,0.008296073120186504,0.06484595925141387,1.0,0.967950271054464
111,discriminating,20,8,IsotropicDP,5,0.009308405169147427,0.07950042059834618,1.0,0.9679988840652533
111,discriminating,20,8,IsotropicDP,6,0.0075031708482374915,0.06302507753969121,1.0,0.968692249748584
111,discriminating,20,8,IsotropicDP,7,0.008419429389682615,0.05834355821346168,1.0,0.9675194984854094
111,discriminating,20,8,IsotropicDP,8,0.00917094155423371,0.07939893311829652,1.0,0.9694055433709772
111,discriminating,20,8,IsotropicDP,9,0.010176185501576803,0.08665750369924141,1.0,0.9670086006482228
111,discriminating,20,8,Local,0,0.006818511464398232,0.025378659733359905,1.0,0.9689720247849348
111,shared-viable,50,4,ControlAwareDP,0,0.00747707955103769,0.09689661282562244,1.0,0.9684553015758508
111,shared-viable,50,4,ControlAwareDP,1,0.007477486955834535,0.08554444490430407,1.0,0.9685308227437082
111,shared-viable,50,4,ControlAwareDP,2,0.007318223907352259,0.061754329228189145,1.0,0.9684443609916414
111,shared-viable,50,4,ControlAwareDP,3,0.007506475734065861,0.13175938705939647,1.0,0.9683719779702544
111,shared-viable,50,4,ControlAwareDP,4,0.0074461367246626406,0.12510292892533367,1.0,0.9682221723044732
111,shared-viable,50,4,ControlAwareDP,5,0.007433847760755102,0.0867453258019643,1.0,0.9682122318460964
111,shared-viable,50,4,ControlAwareDP,6,0.007534680655551781,0.08789980606339304,1.0,0.9687288422918984
111,shared-viable,50,4,ControlAwareDP,7,0.007929204583867911,0.10543093182030175,1.0,0.9688314072726062
111,shared-viable,50,4,ControlAwareDP,8,0.007735055676349952,0.09635116087615306,1.0,0.9682942553394536
111,shared-viable,50,4,ControlAwareDP,9,0.007983047243231673,0.06458580822321966,1.0,0.9687560985547748
111,shared-viable,50,4,FamilyNonPrivate,0,0.007330238309393693,0.047408186010231855,1.0,0.968412209879431
111,shared-viable,50,4,IsotropicDP,0,0.007457946198059969,0.05385247430618412,1.0,0.9684582463702516
111,shared-viable,50,4,IsotropicDP,1,0.007597254373641879,0.05166228751235064,1.0,0.9685652839129076
111,shared-viable,50,4,IsotropicDP,2,0.007332180556127122,0.05001458022618572,1.0,0.9684822718629894
111,shared-viable,50,4,IsotropicDP,3,0.00757129999594914,0.06503037686908959,1.0,0.9684085957541724
111,shared-viable,50,4,IsotropicDP,4,0.007495054034224385,0.05521623307117349,1.0,0.9681845161878389
111,shared-viable,50,4,IsotropicDP,5,0.007531015247219861,0.05346012338362608,1.0,0.9681554362194732
111,shared-viable,50,4,IsotropicDP,6,0.00763906011894085,0.06117788467941828,1.0,0.96881581277108
111,shared-viable,50,4,IsotropicDP,7,0.008240428622228964,0.07280206022138104,1.0,0.9689771273601826
111,shared-viable,50,4,IsotropicDP,8,0.007951658214828107,0.05911942191639107,1.0,0.9682615612931268
111,shared-viable,50,4,IsotropicDP,9,0.008218596668609487,0.06157057570855494,1.0,0.9688321969695154
