phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
B,boundary,balanced,30,outliers-5pct,0.7,4,Isotropic,0.009497116504285736,0.001655345955616819,0.012370121305267984,1.0,0.9711081391938138,0.0080427885823561,18.082384076588486,False
B,boundary,balanced,30,outliers-5pct,0.7,inf,ControlAware,0.008042788582356096,0.00029150653476701715,0.008462704653265962,1.0,0.9692588669206028,0.008042788582356096,0.0,False
B,boundary,balanced,30,outliers-5pct,0.7,inf,Isotropic,0.0080427885823561,0.00029150653476702344,0.008462704653265977,1.0,0.9692588669206028,0.0080427885823561,0.0,False
B,boundary,balanced,30,outliers-5pct,0.9,4,ControlAware,0.008660976432190458,0.0012654058971236011,0.010943588985714585,1.0,0.9708072253934638,0.007630343070413393,13.507038310942242,False
B,boundary,balanced,30,outliers-5pct,0.9,4,Isotropic,0.0090605634194893,0.0015837335940971052,0.011812124289839509,1.0,0.9711081391938138,0.007630343070413398,18.743853793698626,False
B,boundary,balanced,30,outliers-5pct,0.9,inf,ControlAware,0.007630343070413393,0.0002732911315945705,0.00802483848811805,1.0,0.9692588669206028,0.007630343070413393,0.0,False
B,boundary,balanced,30,outliers-5pct,0.9,inf,Isotropic,0.007630343070413398,0.0002732911315945772,0.008024838488118068,1.0,0.9692588669206028,0.007630343070413398,0.0,False
B,boundary,balanced,30,shift-plus-5pct,0.7,4,ControlAware,0.009204623202445738,0.0010115875249424372,0.011225859414479056,1.0,0.9704851035672244,0.008062380512744372,14.16756115511788,False
B,boundary,balanced,30,shift-plus-5pct,0.7,4,Isotropic,0.009653797747267469,0.0013382855625746377,0.012203669507382359,1.0,0.9708054157880598,0.00806238051274438,19.73880086666093,False
B,boundary,balanced,30,shift-plus-5pct,0.7,inf,ControlAware,0.008062380512744372,0.0001639123814987274,0.008285218621987547,1.0,0.968799865723032,0.008062380512744372,0.0,False
