case,client,speed,rho,error_a,error_b,k_beta,k_yaw,k_integral,prefilter
nonlinear_all_original,nominal_00,19.0,0.9501933505080773,0.11143916724962939,0.6171681764303909,1.8305362174206103,1.2772015011943652,6.367944844793555,1.3535835198010442
nonlinear_all_original,nominal_00,19.1,0.9504560630855434,0.11059130423987527,0.621512287996145,1.8397083598006556,1.2843910631454492,6.37171735103615,1.3575278740712702
nonlinear_all_original,nominal_00,19.2,0.9507162510653667,0.10975325673264077,0.625807414559587,1.8488805021807004,1.2915806250965332,6.375489857278744,1.361472228341496
nonlinear_all_original,nominal_00,19.3,0.9509739499318485,0.10892488067922589,0.6300543742158203,1.8580526445607457,1.2987701870476172,6.379262363521338,1.365416582611722
nonlinear_all_original,nominal_00,19.4,0.9512291945254963,0.10810603564378929,0.6342539671212741,1.8672247869407905,1.3059597489987012,6.383034869763933,1.3693609368819477
nonlinear_all_original,nominal_00,19.5,0.9514820190570034,0.10729658468483863,0.6384069759746946,1.8763969293208356,1.3131493109497852,6.386807376006527,1.3733052911521737
nonlinear_all_original,nominal_00,19.6,0.951732457120887,0.10649639424148381,0.6425141664832299,1.8855690717008808,1.3203388729008694,6.390579882249122,1.3772496454223997
nonlinear_all_original,nominal_00,19.7,0.9519805417087925,0.10570533402422198,0.6465762878141169,1.8947412140809257,1.3275284348519532,6.394352388491717,1.3811939996926257
nonlinear_all_original,nominal_00,19.8,0.9522263052224703,0.10492327691004173,0.6505940730324424,1.903913356460971,1.3347179968030374,6.398124894734311,1.3851383539628517
nonlinear_all_original,nominal_00,19.9,0.9524697794864434,0.10415009884164222,0.6545682395254511,1.9130854988410158,1.3419075587541212,6.401897400976906,1.3890827082330774
nonlinear_all_original,nominal_00,20.0,0.9527109957603555,0.10338567873057178,0.6584994894138544,1.922257641221061,1.3490971207052054,6.4056699072195,1.3930270625033034
nonlinear_all_original,nominal_00,20.1,0.9529978659440508,0.10262989836410782,0.6623885099505699,1.9373895107790045,1.3580559022869385,6.408036499137087,1.3980952669340196
nonlinear_all_original,nominal_00,20.200000000000003,0.953281604374185,0.10188264231569864,0.6662359739073231,1.952521380336948,1.3670146838686716,6.410403091054675,1.4031634713647358
nonlinear_all_original,nominal_00,20.3,0.9535622649106118,0.10114379785880813,0.6700425399495124,1.967653249894891,1.3759734654504046,6.412769682972263,1.4082316757954518
nonlinear_all_original,nominal_00,20.4,0.9538399001000086,0.10041325488400218,0.6738088529997383,1.982785119452834,1.3849322470321372,6.415136274889851,1.4132998802261678
nonlinear_all_original,nominal_00,20.5,0.9541145612187047,0.09969090581913327,0.677535544590373,1.9979169890107777,1.3938910286138704,6.417502866807438,1.4183680846568842
