seed,regime,kind,method,models,tracking,worst_client,parameter_error,feasible,rho
134,short-data,discrete,LearnedK,7,0.012982931547403891,0.03591076701844503,0.1935049025026196,1.0,0.9692422194868912
134,short-data,discrete,Local,30,0.013508719139917339,0.02677668400671117,0.23808961188992825,1.0,0.970731910658124
134,short-data,discrete,OracleFamily,3,0.007499380352582198,0.0130752089892013,0.049397218243345024,1.0,0.9686369268755954
134,short-data,discrete,OraclePartition,3,0.007499380352582198,0.0130752089892013,0.049397218243345024,1.0,0.9686369268755954
134,unbalanced,discrete,Global,1,0.008768180090389413,0.015394089195458168,0.10292952689414861,1.0,0.967414713238719
134,unbalanced,discrete,LearnedK,3,0.00704764773987712,0.009079047213769634,0.04939707985404864,1.0,0.9682082717868686
134,unbalanced,discrete,Local,30,0.0067049992979003915,0.0074654327247963325,0.02146687763617709,1.0,0.9677811521114336
134,unbalanced,discrete,OracleFamily,3,0.007042617960094342,0.009079047213769634,0.04955274865876072,1.0,0.968213014137038
134,unbalanced,discrete,OraclePartition,3,0.007042617960094342,0.009079047213769634,0.04955274865876072,1.0,0.968213014137038
135,baseline,discrete,Global,1,0.011738085495462623,0.019192107387497867,0.12482748798690352,1.0,0.9671807257982388
135,baseline,discrete,LearnedK,3,0.0074666857141671055,0.0092137651013399,0.04851706674337264,1.0,0.9686341298631438
135,baseline,discrete,Local,30,0.006814797743974056,0.0076114777916368335,0.020566045865460715,1.0,0.96915393224194
135,baseline,discrete,OracleFamily,3,0.007461510526732831,0.0092137651013399,0.04834770473795508,1.0,0.9686538841965824
135,baseline,discrete,OraclePartition,3,0.007464941027579343,0.0092137651013399,0.04836951241233946,1.0,0.9686442892261584
135,continuous,continuous,Global,1,0.00928453935589891,0.015475304220997932,0.0795035742147171,1.0,0.9656125851328023
135,continuous,continuous,LearnedK,2,0.0075325111722791774,0.0107167224455364,0.04669096762096014,1.0,0.9665498440202503
135,continuous,continuous,Local,30,0.006763202019413376,0.007101127341930567,0.025859831113604962,1.0,0.9676979783867112
135,continuous,continuous,OraclePartition,2,0.007589645286292204,0.011179732447063833,0.04573064261112861,1.0,0.9664532854320872
135,high-noise,discrete,Global,1,0.011195291022909603,0.0174557001076994,0.13064675946737664,1.0,0.9674742861655472
135,high-noise,discrete,LearnedK,2,0.009126835288334504,0.019294826224985268,0.08267099405776658,1.0,0.9687717512273348
135,high-noise,discrete,Local,30,0.006871062485584768,0.0080795034657303,0.09173831205967861,1.0,0.9696584453925896
135,high-noise,discrete,OracleFamily,3,0.007449268756191133,0.0097096776792669,0.04909257506009735,1.0,0.9689561431465634
135,high-noise,discrete,OraclePartition,3,0.007449268756191133,0.0097096776792669,0.04909257506009735,1.0,0.9689561431465634
135,short-data,discrete,Global,1,0.010995703639679832,0.0192531110651491,0.12191078022670201,1.0,0.967554895685186
135,short-data,discrete,LearnedK,3,0.013106122313835322,0.0244990350230397,0.2040824880816611,1.0,0.9700332002922508
135,short-data,discrete,Local,30,0.012920837989364562,0.037620121156948766,0.19600582153024967,1.0,0.9693210507381324
135,short-data,discrete,OracleFamily,3,0.00753313338084494,0.010907407885769,0.05213637627257853,1.0,0.9685838744756772
135,short-data,discrete,OraclePartition,3,0.00753313338084494,0.010907407885769,0.05213637627257853,1.0,0.9685838744756772
135,unbalanced,discrete,Global,1,0.009675484632158412,0.020859079924740866,0.10550555528829166,1.0,0.9683404850123772
135,unbalanced,discrete,LearnedK,3,0.007721718677260588,0.010542843955292933,0.04667271496799106,1.0,0.9690633293043648
135,unbalanced,discrete,Local,30,0.006608842354200594,0.0072504309653216,0.025416169873931648,1.0,0.9692372990141404
