gamma,low,high,time_scale,plant,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible
1,10,30,1,legacy,moderate,M4,0.027164144257081767,0.0006159299641321384,0.028263624240088808,0.806937495733726,2.331713219116303,1.0
1,10,30,1,legacy,near_linear,M1,0.019553037015780955,0.000467863059453084,0.0235193929806035,0.40110664593586554,1.1528617829212175,1.0
1,10,30,1,legacy,near_linear,M2,0.017623751825424007,0.00039345368320638203,0.018142625969291563,0.40108831832014874,1.1569313590825674,1.0
1,10,30,1,legacy,near_linear,M3,0.015588842440513107,0.0005098625181980614,0.01838605826722906,0.400953824988597,1.1585073795801808,1.0
1,10,30,1,legacy,near_linear,M4,0.0130073060412806,0.0002973619068200401,0.013551017950637682,0.40095268692232294,1.1625082321765183,1.0
1,10,30,1,legacy,strong,M1,0.06473188910551424,0.0015402070737343284,0.07865717005186755,1.2241484973309675,3.4863048056223604,1.0
1,10,30,1,legacy,strong,M2,0.058139431237252,0.0013119349356848177,0.05977797132151609,1.2240956368969023,3.4985276795178404,1.0
1,10,30,1,legacy,strong,M3,0.05315461966484999,0.001634458141396783,0.06320462043084762,1.223532320410212,3.5035557155273547,1.0
1,10,30,1,legacy,strong,M4,0.04492808060582507,0.0010052842311912339,0.04662944380992008,1.2235471611587019,3.515358737310876,1.0
1,10,30,1,vy,moderate,M1,0.04033601068654388,0.0009701510852270594,0.04872108007697234,0.80721124024691,2.313098548369004,1.0
1,10,30,1,vy,moderate,M2,0.03624609299938147,0.0008151438809889231,0.03728989485132216,0.8071716433956407,2.321269770128901,1.0
1,10,30,1,vy,moderate,M3,0.032532973419836575,0.0010487771241725027,0.03847722898607493,0.8068757564830549,2.3244966009398538,1.0
1,10,30,1,vy,moderate,M4,0.027177279465236737,0.0006177632552626014,0.02827729640630422,0.8068742106275908,2.332431997721078,1.0
1,10,30,1,vy,near_linear,M1,0.019560244511917513,0.0004690664984267034,0.023531178594776117,0.401072743318302,1.1532048251332687,1.0
1,10,30,1,vy,near_linear,M2,0.017624840451067332,0.00039313883820559853,0.018143239308912408,0.4010539719019521,1.1572883704558103,1.0
1,10,30,1,vy,near_linear,M3,0.015604123469336522,0.0005114613040721503,0.01840840538654227,0.40092297751722483,1.1588594482311865,1.0
1,10,30,1,vy,near_linear,M4,0.013006605488267684,0.000297764086594307,0.013549621927375074,0.4009213338516434,1.1628707062355583,1.0
1,10,30,1,vy,strong,M1,0.06486900571675706,0.0015488041744362681,0.07888624225249662,1.224018265708435,3.487321124312429,1.0
1,10,30,1,vy,strong,M2,0.05823209942244791,0.001315902848551103,0.05987332925275084,1.223964460272672,3.5004411160997613,1.0
1,10,30,1,vy,strong,M3,0.05334024900472989,0.0016428138389152807,0.063500468279967,1.2234159242839595,3.504589764273564,1.0
1,10,30,1,vy,strong,M4,0.045041397695963666,0.0010125546953480488,0.0467532485659126,1.2234297985684204,3.52270859051798,1.0
1,10,30,2,beta_noacc,moderate,M1,0.016588122182339637,0.0005555802263581209,0.020078243606502615,0.810296987597584,1.153472748168645,1.0
1,10,30,2,beta_noacc,moderate,M2,0.013747336398444821,0.00043705802424894307,0.014614598892506093,0.8102674548831452,1.1545343251664155,1.0
1,10,30,2,beta_noacc,moderate,M3,0.011675501443246238,0.0006882086719144254,0.013215427797315956,0.8101688170590211,1.1550333003927202,1.0
1,10,30,2,beta_noacc,moderate,M4,0.007561631056482524,0.00024516841017474707,0.008048138692246545,0.8101527635070351,1.1566002157871575,1.0
1,10,30,2,beta_noacc,near_linear,M1,0.008132288473740375,0.0002665595413505917,0.009811363055669663,0.4019027988981515,0.5743423017228181,1.0
1,10,30,2,beta_noacc,near_linear,M2,0.0068176191231570996,0.00021297589345377436,0.007260986492052114,0.40188983313524407,0.57490564958737,1.0
1,10,30,2,beta_noacc,near_linear,M3,0.005623310528721082,0.000335001709023801,0.006381127286669315,0.4018477755191146,0.5748270972076194,1.0
1,10,30,2,beta_noacc,near_linear,M4,0.003634861746777379,0.0001277605500095019,0.003878083406957885,0.40184052966754624,0.5753108987087315,1.0
1,10,30,2,beta_noacc,strong,M1,0.02610277965960724,0.000904082090958196,0.031803705711365995,1.2340893908050976,1.7847748879453926,1.0
